2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:32,483 - brainiak.fcma.preprocessing - INFO - data broadcasting done, takes 0.54 s
2023-03-29 20:21:32,490 - brainiak.fcma.voxelselector - INFO - Master at rank 0 starts to allocate tasks
2023-03-29 20:21:34,314 - brainiak.fcma.voxelselector - INFO - in rank 1, task 0 takes 1.82 s
2023-03-29 20:21:36,127 - brainiak.fcma.voxelselector - INFO - in rank 1, task 1 takes 1.81 s
2023-03-29 20:21:37,951 - brainiak.fcma.voxelselector - INFO - in rank 1, task 2 takes 1.82 s
2023-03-29 20:21:39,759 - brainiak.fcma.voxelselector - INFO - in rank 1, task 3 takes 1.81 s
2023-03-29 20:21:41,565 - brainiak.fcma.voxelselector - INFO - in rank 1, task 4 takes 1.80 s
2023-03-29 20:21:43,401 - brainiak.fcma.voxelselector - INFO - in rank 1, task 5 takes 1.84 s
2023-03-29 20:21:45,210 - brainiak.fcma.voxelselector - INFO - in rank 1, task 6 takes 1.81 s
2023-03-29 20:21:47,038 - brainiak.fcma.voxelselector - INFO - in rank 1, task 7 takes 1.83 s
2023-03-29 20:21:48,844 - brainiak.fcma.voxelselector - INFO - in rank 1, task 8 takes 1.81 s
2023-03-29 20:21:50,655 - brainiak.fcma.voxelselector - INFO - in rank 1, task 9 takes 1.81 s
2023-03-29 20:21:52,479 - brainiak.fcma.voxelselector - INFO - in rank 1, task 10 takes 1.82 s
2023-03-29 20:21:54,292 - brainiak.fcma.voxelselector - INFO - in rank 1, task 11 takes 1.81 s
2023-03-29 20:21:56,097 - brainiak.fcma.voxelselector - INFO - in rank 1, task 12 takes 1.80 s
2023-03-29 20:21:57,923 - brainiak.fcma.voxelselector - INFO - in rank 1, task 13 takes 1.82 s
2023-03-29 20:21:59,728 - brainiak.fcma.voxelselector - INFO - in rank 1, task 14 takes 1.80 s
