2023-03-29 20:21:56,414 - __main__ - INFO - Testing for participant 1.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,437 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,447 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,068 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,196 - brainiak.fcma.preprocessing - INFO - data broadcasting done, takes 5.85 s
2023-03-29 20:22:10,201 - brainiak.fcma.voxelselector - INFO - Master at rank 0 starts to allocate tasks
2023-03-29 20:22:11,503 - brainiak.fcma.voxelselector - INFO - in rank 1, task 0 takes 1.30 s
2023-03-29 20:22:12,803 - brainiak.fcma.voxelselector - INFO - in rank 1, task 1 takes 1.30 s
2023-03-29 20:22:14,099 - brainiak.fcma.voxelselector - INFO - in rank 1, task 2 takes 1.30 s
2023-03-29 20:22:15,402 - brainiak.fcma.voxelselector - INFO - in rank 1, task 3 takes 1.30 s
2023-03-29 20:22:16,707 - brainiak.fcma.voxelselector - INFO - in rank 1, task 4 takes 1.30 s
2023-03-29 20:22:18,002 - brainiak.fcma.voxelselector - INFO - in rank 1, task 5 takes 1.29 s
2023-03-29 20:22:19,302 - brainiak.fcma.voxelselector - INFO - in rank 1, task 6 takes 1.30 s
2023-03-29 20:22:20,599 - brainiak.fcma.voxelselector - INFO - in rank 1, task 7 takes 1.30 s
2023-03-29 20:22:21,895 - brainiak.fcma.voxelselector - INFO - in rank 1, task 8 takes 1.29 s
2023-03-29 20:22:23,190 - brainiak.fcma.voxelselector - INFO - in rank 1, task 9 takes 1.30 s
2023-03-29 20:22:24,496 - brainiak.fcma.voxelselector - INFO - in rank 1, task 10 takes 1.30 s
2023-03-29 20:22:25,792 - brainiak.fcma.voxelselector - INFO - in rank 1, task 11 takes 1.30 s
2023-03-29 20:22:27,089 - brainiak.fcma.voxelselector - INFO - in rank 1, task 12 takes 1.30 s
2023-03-29 20:22:28,388 - brainiak.fcma.voxelselector - INFO - in rank 1, task 13 takes 1.30 s
2023-03-29 20:22:29,694 - brainiak.fcma.voxelselector - INFO - in rank 1, task 14 takes 1.31 s
2023-03-29 20:22:30,992 - brainiak.fcma.voxelselector - INFO - in rank 1, task 15 takes 1.30 s
2023-03-29 20:22:32,289 - brainiak.fcma.voxelselector - INFO - in rank 1, task 16 takes 1.30 s
2023-03-29 20:22:33,588 - brainiak.fcma.voxelselector - INFO - in rank 1, task 17 takes 1.30 s
2023-03-29 20:22:34,884 - brainiak.fcma.voxelselector - INFO - in rank 1, task 18 takes 1.30 s
2023-03-29 20:22:36,142 - brainiak.fcma.voxelselector - INFO - in rank 1, task 19 takes 1.26 s
2023-03-29 20:22:37,402 - brainiak.fcma.voxelselector - INFO - in rank 1, task 20 takes 1.26 s
2023-03-29 20:22:38,668 - brainiak.fcma.voxelselector - INFO - in rank 1, task 21 takes 1.27 s
2023-03-29 20:22:39,927 - brainiak.fcma.voxelselector - INFO - in rank 1, task 22 takes 1.26 s
2023-03-29 20:22:41,188 - brainiak.fcma.voxelselector - INFO - in rank 1, task 23 takes 1.26 s
2023-03-29 20:22:42,449 - brainiak.fcma.voxelselector - INFO - in rank 1, task 24 takes 1.26 s
2023-03-29 20:22:43,710 - brainiak.fcma.voxelselector - INFO - in rank 1, task 25 takes 1.26 s
2023-03-29 20:22:44,969 - brainiak.fcma.voxelselector - INFO - in rank 1, task 26 takes 1.26 s
2023-03-29 20:22:46,231 - brainiak.fcma.voxelselector - INFO - in rank 1, task 27 takes 1.26 s
2023-03-29 20:22:47,491 - brainiak.fcma.voxelselector - INFO - in rank 1, task 28 takes 1.26 s
2023-03-29 20:22:48,753 - brainiak.fcma.voxelselector - INFO - in rank 1, task 29 takes 1.26 s
2023-03-29 20:22:50,025 - brainiak.fcma.voxelselector - INFO - in rank 1, task 30 takes 1.27 s
2023-03-29 20:22:51,285 - brainiak.fcma.voxelselector - INFO - in rank 1, task 31 takes 1.26 s
2023-03-29 20:22:52,546 - brainiak.fcma.voxelselector - INFO - in rank 1, task 32 takes 1.26 s
2023-03-29 20:22:53,807 - brainiak.fcma.voxelselector - INFO - in rank 1, task 33 takes 1.26 s
2023-03-29 20:22:55,068 - brainiak.fcma.voxelselector - INFO - in rank 1, task 34 takes 1.26 s
2023-03-29 20:22:56,328 - brainiak.fcma.voxelselector - INFO - in rank 1, task 35 takes 1.26 s
2023-03-29 20:22:57,589 - brainiak.fcma.voxelselector - INFO - in rank 1, task 36 takes 1.26 s
2023-03-29 20:22:58,851 - brainiak.fcma.voxelselector - INFO - in rank 1, task 37 takes 1.26 s
2023-03-29 20:23:00,111 - brainiak.fcma.voxelselector - INFO - in rank 1, task 38 takes 1.26 s
2023-03-29 20:23:01,371 - brainiak.fcma.voxelselector - INFO - in rank 1, task 39 takes 1.26 s
2023-03-29 20:23:02,630 - brainiak.fcma.voxelselector - INFO - in rank 1, task 40 takes 1.26 s
2023-03-29 20:23:03,893 - brainiak.fcma.voxelselector - INFO - in rank 1, task 41 takes 1.26 s
2023-03-29 20:23:05,150 - brainiak.fcma.voxelselector - INFO - in rank 1, task 42 takes 1.26 s
2023-03-29 20:23:06,410 - brainiak.fcma.voxelselector - INFO - in rank 1, task 43 takes 1.26 s
2023-03-29 20:23:07,670 - brainiak.fcma.voxelselector - INFO - in rank 1, task 44 takes 1.26 s
2023-03-29 20:23:08,931 - brainiak.fcma.voxelselector - INFO - in rank 1, task 45 takes 1.26 s
2023-03-29 20:23:10,193 - brainiak.fcma.voxelselector - INFO - in rank 1, task 46 takes 1.26 s
2023-03-29 20:23:11,455 - brainiak.fcma.voxelselector - INFO - in rank 1, task 47 takes 1.26 s
2023-03-29 20:23:12,717 - brainiak.fcma.voxelselector - INFO - in rank 1, task 48 takes 1.26 s
2023-03-29 20:23:13,976 - brainiak.fcma.voxelselector - INFO - in rank 1, task 49 takes 1.26 s
2023-03-29 20:23:15,235 - brainiak.fcma.voxelselector - INFO - in rank 1, task 50 takes 1.26 s
2023-03-29 20:23:16,497 - brainiak.fcma.voxelselector - INFO - in rank 1, task 51 takes 1.26 s
2023-03-29 20:23:17,759 - brainiak.fcma.voxelselector - INFO - in rank 1, task 52 takes 1.26 s
2023-03-29 20:23:19,017 - brainiak.fcma.voxelselector - INFO - in rank 1, task 53 takes 1.26 s
2023-03-29 20:23:20,277 - brainiak.fcma.voxelselector - INFO - in rank 1, task 54 takes 1.26 s
2023-03-29 20:23:21,546 - brainiak.fcma.voxelselector - INFO - in rank 1, task 55 takes 1.27 s
2023-03-29 20:23:22,808 - brainiak.fcma.voxelselector - INFO - in rank 1, task 56 takes 1.26 s
2023-03-29 20:23:24,071 - brainiak.fcma.voxelselector - INFO - in rank 1, task 57 takes 1.26 s
2023-03-29 20:23:25,332 - brainiak.fcma.voxelselector - INFO - in rank 1, task 58 takes 1.26 s
2023-03-29 20:23:26,594 - brainiak.fcma.voxelselector - INFO - in rank 1, task 59 takes 1.26 s
2023-03-29 20:23:27,853 - brainiak.fcma.voxelselector - INFO - in rank 1, task 60 takes 1.26 s
2023-03-29 20:23:29,113 - brainiak.fcma.voxelselector - INFO - in rank 1, task 61 takes 1.26 s
2023-03-29 20:23:30,372 - brainiak.fcma.voxelselector - INFO - in rank 1, task 62 takes 1.26 s
2023-03-29 20:23:31,631 - brainiak.fcma.voxelselector - INFO - in rank 1, task 63 takes 1.26 s
2023-03-29 20:23:32,890 - brainiak.fcma.voxelselector - INFO - in rank 1, task 64 takes 1.26 s
2023-03-29 20:23:34,151 - brainiak.fcma.voxelselector - INFO - in rank 1, task 65 takes 1.26 s
2023-03-29 20:23:35,411 - brainiak.fcma.voxelselector - INFO - in rank 1, task 66 takes 1.26 s
2023-03-29 20:23:36,671 - brainiak.fcma.voxelselector - INFO - in rank 1, task 67 takes 1.26 s
2023-03-29 20:23:37,931 - brainiak.fcma.voxelselector - INFO - in rank 1, task 68 takes 1.26 s
2023-03-29 20:23:39,193 - brainiak.fcma.voxelselector - INFO - in rank 1, task 69 takes 1.26 s
2023-03-29 20:23:40,454 - brainiak.fcma.voxelselector - INFO - in rank 1, task 70 takes 1.26 s
2023-03-29 20:23:41,716 - brainiak.fcma.voxelselector - INFO - in rank 1, task 71 takes 1.26 s
