2023-03-29 20:22:10,066 - __main__ - INFO - Testing for participant 2.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,069 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,098 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,103 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:22:17,461 - brainiak.fcma.preprocessing - INFO - data broadcasting done, takes 0.04 s
2023-03-29 20:22:17,465 - brainiak.fcma.voxelselector - INFO - Master at rank 0 starts to allocate tasks
2023-03-29 20:22:18,732 - brainiak.fcma.voxelselector - INFO - in rank 1, task 0 takes 1.27 s
2023-03-29 20:22:19,990 - brainiak.fcma.voxelselector - INFO - in rank 1, task 1 takes 1.26 s
2023-03-29 20:22:21,249 - brainiak.fcma.voxelselector - INFO - in rank 1, task 2 takes 1.26 s
2023-03-29 20:22:22,509 - brainiak.fcma.voxelselector - INFO - in rank 1, task 3 takes 1.26 s
2023-03-29 20:22:23,768 - brainiak.fcma.voxelselector - INFO - in rank 1, task 4 takes 1.26 s
2023-03-29 20:22:25,025 - brainiak.fcma.voxelselector - INFO - in rank 1, task 5 takes 1.26 s
2023-03-29 20:22:26,285 - brainiak.fcma.voxelselector - INFO - in rank 1, task 6 takes 1.26 s
2023-03-29 20:22:27,545 - brainiak.fcma.voxelselector - INFO - in rank 1, task 7 takes 1.26 s
2023-03-29 20:22:28,806 - brainiak.fcma.voxelselector - INFO - in rank 1, task 8 takes 1.26 s
2023-03-29 20:22:30,075 - brainiak.fcma.voxelselector - INFO - in rank 1, task 9 takes 1.27 s
2023-03-29 20:22:31,341 - brainiak.fcma.voxelselector - INFO - in rank 1, task 10 takes 1.27 s
2023-03-29 20:22:32,599 - brainiak.fcma.voxelselector - INFO - in rank 1, task 11 takes 1.26 s
2023-03-29 20:22:33,868 - brainiak.fcma.voxelselector - INFO - in rank 1, task 12 takes 1.27 s
2023-03-29 20:22:35,128 - brainiak.fcma.voxelselector - INFO - in rank 1, task 13 takes 1.26 s
2023-03-29 20:22:36,387 - brainiak.fcma.voxelselector - INFO - in rank 1, task 14 takes 1.26 s
2023-03-29 20:22:37,644 - brainiak.fcma.voxelselector - INFO - in rank 1, task 15 takes 1.26 s
2023-03-29 20:22:38,907 - brainiak.fcma.voxelselector - INFO - in rank 1, task 16 takes 1.26 s
2023-03-29 20:22:40,166 - brainiak.fcma.voxelselector - INFO - in rank 1, task 17 takes 1.26 s
